OBJECTID,PARK_NUMBER,PARK_NAME,SAP_ASSET_ID,HOUSE_NUMBER,STREET_ADDRESS,SUBURB,POST_CODE,LONG,LAT,SHAPE_Length,SHAPE_Area
634,D1915,LOGAN ROAD PARK (NO. 2641),B-RE-0005,2651,LOGAN ROAD,EIGHT MILE PLAINS,4113,153.098859111506,-27.5848613005514,639.366999303449,12694.5635939245
635,D1917,BEENLEIGH ROAD PARK (NO. 1251),B-RE-0583,1251,BEENLEIGH ROAD,RUNCORN,4113,153.08534809005,-27.6027189510117,800.897886831926,35145.8937174997
636,D1918,JOHN WILSON RESERVE,B-RE-0582,52,GLENHURST STREET,PINJARRA HILLS,4069,152.899412639,-27.55400051,3116.87319260341,94625.235236592
637,D1919,YOUNGS ROAD PARK,B-RE-0581,272,HEMMANT-TINGALPA ROAD,HEMMANT,4174,153.132127551667,-27.4545312993333,216.344455951055,2209.62588530614
638,D1920,UNDERWOOD ROAD PARK (NO. 228A),B-RE-0580,226A,UNDERWOOD ROAD,EIGHT MILE PLAINS,4113,153.096776820029,-27.5897401189483,877.908618501395,9966.46632588407
639,D1921,PINNIBAR STREET PARK (NO. 40),B-RE-0004,40,PINNIBAR STREET,HEMMANT,4174,153.131643681556,-27.4558553553321,586.739168279663,7403.02965858561
640,D1922,PINNIBAR STREET PARK (NO. 43),B-RE-0579,43,PINNIBAR STREET,HEMMANT,4174,153.130777051161,-27.4577709683327,246.979384205977,1114.16953567021
641,D1924,EWAN PLACE PARK,B-RE-0578,27,EWAN PLACE,BRACKEN RIDGE,4017,153.028264605624,-27.3267267371551,545.895335224067,7543.27755234416
642,D1925,WARRANILLA STREET PARK,B-RE-0577,30,SWANBROOK PLACE,PARKINSON,4115,153.024122707222,-27.6347183586744,299.464435286711,5047.88054081547
643,D1926,METROPLEX AVENUE WETLANDS,B-RE-0369,26,BORTHWICK AVENUE,MURARRIE,4172,153.100525389,-27.4500039289999,1358.70658059695,18142.8259153137
644,D1927,OAK PLACE PARK,B-RE-0161,53,OAK PLACE,MACKENZIE,4156,153.12492299923,-27.5392164135862,404.407068269572,5226.93623104808
645,D1928,CARABBEAN CLOSE PARK,B-RE-0160,59,PINEWOOD STREET,WYNNUM WEST,4178,153.146794741,-27.455428614,508.720575500253,6653.467698826
646,D1930,EVERGREEN PLACE PARK,B-RE-0159,41,ROSEWOOD PLACE,MURARRIE,4172,153.092061978821,-27.4646170951125,1436.14044566172,51231.6535415873
647,D1931,CALLIOPE CIRCUIT PARK,B-RE-0158,11,CALLIOPE CIRCUIT,MURARRIE,4172,153.094061832496,-27.4636684557135,470.496351087369,11406.1442049626
648,D1932,MICHAEL PLACE PARK,B-RE-0157,70,BARBOUR ROAD,BRACKEN RIDGE,4017,153.032136762144,-27.3250575745117,358.394730791798,7619.26479424224
649,D1933,ALLINGHAM STREET PARK,B-RE-0156,70A,ALLINGHAM STREET,KURABY,4112,153.093274020332,-27.6129774578092,796.907269390881,14079.7852793834
650,D1934,SOUTHGATE AVENUE PARK,B-RE-0155,91,SOUTHGATE AVENUE,CANNON HILL,4170,153.091409660642,-27.465754775325,351.002110682963,6003.36203589594
651,D1936,SEABROOK CIRCUIT PARK,B-RE-0154,40,SEABROOK CIRCUIT,WESTLAKE,4074,152.914727236055,-27.5501181727547,413.886626640227,10074.3877311643
